Source,Target,Weight
sipa,Sjors,16
copumpkin,laanwj,1
copumpkin,CodeShark,1
copumpkin,adamjonas,1
laanwj,CodeShark,4
laanwj,adamjonas,12
CodeShark,adamjonas,1
freewil,laanwj,2
luke-jr,stevenph,1
laanwj,stevenph,1
luke-jr,NotBugger,1
luke-jr,Cryddit,2
luke-jr,Empact,4
NotBugger,Cryddit,1
NotBugger,MarcoFalke,1
NotBugger,Empact,1
Cryddit,MarcoFalke,1
Cryddit,Empact,1
MarcoFalke,Empact,12
Cryddit,laanwj,2
Diapolo,qubez,8
Diapolo,Belkaar,1
laanwj,Belkaar,1
shamoons,qubez,3
shamoons,Belkaar,1
qubez,Belkaar,1
hllhll,jonasschnelli,1
hllhll,laanwj,1
sipa,Cryddit,1
gavinandresen,Cryddit,2
laanwj,veox,2
Diapolo,ghost,6
luke-jr,ghost,15
laanwj,jambolo,1
laanwj,nybble41,1
jambolo,nybble41,1
jambolo,Diapolo,1
nybble41,Diapolo,1
laanwj,theuni,106
vladgiurgiubv,gmaxwell,1
vladgiurgiubv,runeksvendsen,1
vladgiurgiubv,Diapolo,1
gmaxwell,runeksvendsen,1
runeksvendsen,Diapolo,1
hjfreyer,sipa,2
laanwj,svasva,1
gavinandresen,svasva,1
luke-jr,svasva,1
jgarzik,svasva,1
kangasbros,gmaxwell,1
kangasbros,laanwj,1
laanwj,TheComputerGenie,1
Diapolo,TheComputerGenie,1
gmaxwell,maciej-trebacz,1
gavinandresen,maciej-trebacz,1
maciej-trebacz,laanwj,1
dentldir,luke-jr,1
Diapolo,Azulan,1
burger2,sipa,2
burger2,Azulan,1
sipa,Azulan,1
laanwj,Azulan,4
luke-jr,xanatos,1
luke-jr,guru-god,1
luke-jr,meshcollider,13
xanatos,gmaxwell,1
xanatos,laanwj,1
xanatos,guru-god,1
xanatos,meshcollider,1
gmaxwell,guru-god,1
gmaxwell,meshcollider,6
laanwj,guru-god,1
laanwj,meshcollider,26
guru-god,meshcollider,1
laanwj,94m3k1n9,2
laanwj,Nicolai-s,1
