issue_id,request_by,approved_by,merged_by
#18155,practicalswift,,MarcoFalke
#18154,yahiheb,,
#18152,hebasto,ryanofsky|ryanofsky,jonasschnelli
#18151,fanquake,,
#18149,vasild,,
#18148,JeremyRubin,,
#18147,practicalswift,,
#18146,sanjaykdragon,,
#18145,Sjors,,MarcoFalke
#18143,bitzec,,
#18139,MarcoFalke,,laanwj
#18138,Bushstar,,
#18135,fanquake,,laanwj
#18134,Empact,,laanwj
#18131,jonasschnelli,,
#18129,abitfan,,
#18127,MarcoFalke,,
#18126,practicalswift,,MarcoFalke
#18125,fanquake,,laanwj
#18124,practicalswift,,
#18123,ryanofsky,,jonasschnelli
#18122,theStack,fanquake,fanquake
#18121,hebasto,ryanofsky,jonasschnelli
#18120,JeremyRubin,sdaftuar,
#18117,hebasto,,
#18116,hebasto,,
#18115,achow101,Empact,meshcollider
#18113,jnewbery,,
#18112,sipa,ryanofsky|ryanofsky|ryanofsky|ryanofsky,laanwj
#18109,practicalswift,,MarcoFalke
#18108,hebasto,sipsorcery,MarcoFalke
#18107,MarcoFalke,,laanwj
#18106,laanwj,jonasschnelli,MarcoFalke
#18104,MarcoFalke,hebasto,fanquake
#18102,yancyribbens,,
#18101,hebasto,brakmic|jonasschnelli,laanwj
#18100,MarcoFalke,,laanwj
#18099,MarcoFalke,fanquake,fanquake
#18098,MarcoFalke,,MarcoFalke
#18097,backpacker69,,
#18094,thorie7912,,
#18091,jonasschnelli,,laanwj
#18089,thorie7912,,
#18088,fanquake,,fanquake
#18087,sipa,ryanofsky|ryanofsky|ryanofsky,fanquake
#18084,promag,,fanquake
#18083,luke-jr,kallewoof,laanwj
#18082,fanquake,hebasto,laanwj
#18081,fanquake,theStack|MarcoFalke,laanwj
#18079,luke-jr,laanwj,laanwj
#18078,luke-jr,,
#18076,tarrenj,,
#18072,dongcarl,,
#18070,givanse,fanquake,fanquake
#18069,theStack,MarcoFalke,MarcoFalke
#18067,ryanofsky,achow101,meshcollider
#18064,promag,hebasto|hebasto,
#18063,JeremyRubin,,
#18062,promag,elichai|kristapsk|hebasto,fanquake
#18060,promag,hebasto,fanquake
#18059,fanquake,,fanquake
#18056,emilengler,,laanwj
#18054,jonatack,elichai,fanquake
#18053,kristapsk,,
#18052,hebasto,kristapsk,laanwj
#18051,hebasto,jonasschnelli,laanwj
#18050,jakubtrnka,,
#18047,practicalswift,,MarcoFalke
#18045,hebasto,jonasschnelli,
#18042,jonasschnelli,,
#18038,amitiuttarwar,,fanquake
#18037,amitiuttarwar,MarcoFalke|MarcoFalke,MarcoFalke
#18036,promag,hebasto|jonasschnelli,jonasschnelli
#18035,promag,jonasschnelli|hebasto,
#18034,achow101,Sjors,meshcollider
#18032,achow101,,MarcoFalke
#18031,sipsorcery,fanquake,fanquake
#18029,practicalswift,,laanwj
#18026,ajtowns,fanquake,fanquake
#18025,andrewtoth,fanquake,fanquake
#18023,sipa,,laanwj
#18022,MarcoFalke,,MarcoFalke
#18021,sipa,ryanofsky|ryanofsky,laanwj
#18018,fanquake,MarcoFalke,MarcoFalke
#18013,elichai,,MarcoFalke
#18012,Bushstar,,
#18010,theStack,kristapsk,fanquake
#18009,practicalswift,MarcoFalke|chamajcpradel,MarcoFalke
#18008,fanquake,,fanquake
#18007,luke-jr,hebasto,jonasschnelli
#18006,Mr-Leshiy,,
#18004,fanquake,,fanquake
#18003,fanquake,,fanquake
#18002,sipa,ajtowns|theStack,laanwj
#18001,sipsorcery,fanquake,MarcoFalke
#17999,ryanofsky,MarcoFalke,MarcoFalke
#17998,emilengler,kristapsk|jonasschnelli,jonasschnelli
#17997,MarcoFalke,,MarcoFalke
